uid;randonnee;alpinisme;velo;itineraires_dacces;itineraires_associes;ski_surf;escalade;parapente;paralpinisme;raquette;peche;cascade_de_glace
1741;1;1;0;1;1;1;0;0;0;0;0;0
2319;1;0;0;1;1;0;1;0;0;0;0;0
1548;1;1;0;1;1;1;1;1;1;1;0;0
1538;1;1;0;1;1;1;1;0;0;1;0;0
1547;1;1;0;1;1;1;0;0;0;1;1;0
1546;1;1;0;1;1;1;1;0;0;0;0;0
5572;1;1;0;1;1;1;1;0;0;1;0;0
1552;1;1;1;1;1;1;1;1;0;1;0;1
1529;1;1;0;1;1;1;1;0;0;0;0;1
1767;1;1;0;1;1;1;1;1;0;1;0;0
2296;1;1;0;1;1;1;1;1;0;1;0;1
1544;1;0;0;1;1;1;1;0;0;0;0;0
1752;1;1;0;1;1;1;1;0;1;0;0;0
6472;1;1;0;1;1;1;1;1;0;1;0;0
1488;1;1;0;1;1;1;0;0;1;0;0;0
1710;1;1;0;1;1;1;1;0;0;1;0;0
1535;1;1;0;1;1;1;1;0;0;0;0;0
1537;1;1;0;1;1;1;1;1;0;0;0;0
1753;1;1;0;1;1;1;1;0;0;0;0;0
1545;1;1;0;1;1;1;1;0;0;0;0;0
1166;1;1;1;1;1;1;1;1;0;1;0;0
4223;1;1;0;1;1;1;0;0;0;1;0;0
1540;1;1;0;1;1;1;1;0;0;1;0;0
1754;1;1;0;1;1;1;1;1;0;0;0;0
2166;1;1;0;1;1;1;1;0;1;0;0;0
1165;1;1;0;1;1;1;1;1;0;0;0;0
1341;1;1;0;1;1;1;0;0;0;0;0;0
1550;1;1;0;1;1;1;1;1;1;0;0;0
1549;1;1;0;1;1;1;1;1;1;0;0;1
647;1;1;0;1;1;1;1;1;1;1;0;0
1536;1;1;0;1;1;1;1;1;1;1;0;0
1000;0;0;0;0;0;0;0;0;0;0;0;0
1001;1;1;0;1;1;1;0;0;0;0;0;0
