UID;website;webite2;facebook;carte_interactive
1741;http://www.refuge-chancel.com;;;
2319;http://www.lerefugedesclots.fr;;https://www.facebook.com/refugedesclots;
1548;http://refugedelolan.chez.com;https://refugedelolan.ffcam.fr;https://www.facebook.com/refugedelolan.fr;
1538;http://refugedesbans.ffcam.fr;;https://www.facebook.com/pages/Les-Bans/142945805722602?fref=ts&rf=1450876615213907;
1547;https://refugealpedevillardarene.ffcam.fr;;https://www.facebook.com/Refuge-de-lAlpe-de-Villar-dAr%C3%A8ne-1585126605084387;
1546;https://refugelalavey.ffcam.fr;https://www.refuge-lalavey.com;https://www.facebook.com/Refuge-de-la-Lavey-1000668730010001;
5572;https://www.chaletrefugedechamoissiere.fr;;https://www.facebook.com/chaletrefugechamoissiere;
1552;https://chaletduclot.ffcam.fr;http://valgaudemar.free.fr/xavier_blanc.htm;https://www.facebook.com/Refuge-du-Clot-Xavier-Blanc-1394018960818771;
1529;;;https://www.facebook.com/alpedupin;
1767;https://refugechabourneou.ffcam.fr;http://valgaudemar.free.fr/chabourneou.htm;http://facebook.com/chabourneou;
2296;http://refugepredelachaumette.ffcam.fr;;https://www.facebook.com/refugepredelachaumette;
1544;https://soreiller.com;;https://www.facebook.com/Refuge-du-Soreiller-581992211959653;
1752;https://www.refuge-promontoire.com;https://refugedupromontoire.ffcam.fr;https://www.facebook.com/refugepromontoire;
6472;https://www.refuge-font-turbat.com;https://refugefontturbat.ffcam.fr;https://www.facebook.com/refugefontturbat;
1488;https://refugedelaigle.ffcam.fr;https://www.refugedelaigle.fr;https://www.facebook.com/RefugedelAigle;
1710;http://refugedupave.ffcam.fr;https://www.refugedupave.com;https://www.facebook.com/refugedupave;
1535;https://refugedesecrins.ffcam.fr;https://www.refuge-ecrins.fr;https://www.facebook.com/Refuge-des-Ecrins-937569819622607;
1537;https://www.refuge-adele-planchard.com;;https://www.facebook.com/Refuge-Ad%C3%A8le-Planchard-433393826735079;
1753;https://refugechatelleret.ffcam.fr;;https://www.facebook.com/Refuge-du-Ch%C3%A2telleret-1433998473566460;
1545;http://www.refugedelaselle.fr;;https://www.facebook.com/Refuge-de-la-Selle-1439760849685600;
1166;https://refugedessouffles.ffcam.fr;https://sites.google.com/site/refugedessouffles;https://www.facebook.com/Refuge-des-Souffles-1585318011722711;
4223;http://www.gitedes3cols.fr;;https://www.facebook.com/gitedestroiscols;
1540;http://refugedusele.ffcam.fr;;;
1754;http://refugedelapilatte.com;https://refugelapilatte.ffcam.fr;https://www.facebook.com/pages/Refuge-De-La-Pilatte/737343456311438;
2166;https://chaletlaberarde.ffcam.fr;;https://www.facebook.com/Refuge-du-Chalet-Alpin-de-La-Berarde-888713361237964;
1165;https://www.vallonpierre.com;https://refugevallonpierre.ffcam.fr;https://www.facebook.com/Refuge-de-Vallonpierre-482582505222122;
1341;http://muzelle.a-venosc.com;;https://www.facebook.com/Refuge-de-la-Muzelle-810015075720645;
1550;https://refugeduglacierblanc.ffcam.fr;;https://www.facebook.com/pages/Refuge-du-Go%C3%BBter/114277381965307;
1549;https://refugedupigeonnier.ffcam.fr;;https://www.facebook.com/refugedupigeonnier;
647;https://www.temple-ecrins.com;https://refugetempleecrins.ffcam.fr;https://www.facebook.com/refugedeTempleEcrins;
1536;https://refugedupelvoux.ffcam.fr;;https://www.facebook.com/RefugeduPelvoux;
1000;;;;
1001;http://www.refugedutourond.com;;https://www.facebook.com/refugedutourond;
